,제목,기간,주소
142,국립민속박물관 정월대보름 한마당,2023.02.04 ~ 2023.02.05,서울특별시 종로구 삼청로 37 (세종로)
143,양천구 정월대보름 민속축제,2023.02.04 ~ 2023.02.04,서울특별시 양천구 신정동
144,응봉산 해맞이축제,2023.01.01 ~ 2023.01.01,서울특별시 성동구 금호동4가 1540
145,종로구 인왕산 해맞이 축제,2023.01.01 ~ 2023.01.01,서울특별시 종로구 청운동 3-55 (청운동)
146,하늘공원해맞이행사,2023.01.01 ~ 2023.01.01,서울특별시 마포구 하늘공원로 95 (상암동)
147,관악형 광장문화 [상상하는 대로],2022.10.16 ~ 2022.10.16,서울특별시 관악구 봉천로 505 서울원당초등학교
148,서울커피페스티벌,2022.11.23 ~ 2022.11.26,"서울특별시 강남구  영동대로 (513, 코엑스)"
149,서울국제즉흥춤축제,2022.05.25 ~ 2022.05.29,서울특별시 종로구 대학로10길 17
150,전쟁기념관 어린이날 문화축제,2022.05.05 ~ 2022.05.05,서울특별시 용산구 이태원로 29 (용산동1가)
151,종묘대제,2022.05.01 ~ 2022.05.01,서울특별시 종로구 종로 157
152,응봉산 개나리축제,2022.03.26 ~ 2022.03.27,서울시 성동구 응봉동 응봉산
153,송파둘레길 벚꽃나들이,2022.03.25 ~ 2022.04.03,서울특별시 송파구 올림픽로 326 송파구청
                                                                           
